"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 25 19:32:06 GMT+03:00 2023","Mon Sep 25 19:32:12 GMT+03:00 2023","6189","","guru.qa.tests.parametrizedTest","","guru.qa.tests.parametrizedTest","localeTest","localeTest(Locale, List) [1] pl, [Strona główna Usługi Portfolio Kontakt Kariera Referencje]",""
"passed","Fri Sep 22 18:20:04 GMT+03:00 2023","Fri Sep 22 18:20:10 GMT+03:00 2023","6184","","guru.qa.tests.MainPageTest","","guru.qa.tests.MainPageTest","checkMainContent","Проверка работоспособности главной страницы",""
"broken","Thu Sep 21 10:25:00 GMT+03:00 2023","Thu Sep 21 10:25:01 GMT+03:00 2023","34","","guru.qa.tests.PortfolioPageTest","","guru.qa.tests.PortfolioPageTest","serviceLocaleTest","serviceLocaleTest(Locale, List)",""
"passed","Mon Sep 25 20:45:43 GMT+03:00 2023","Mon Sep 25 20:46:15 GMT+03:00 2023","32385","","guru.qa.tests.GetInTouchFormTests","","guru.qa.tests.GetInTouchFormTests","unsuccessfulFillTheForm","Незаполненное поле message формы Get in touch",""
"passed","Mon Sep 25 19:32:13 GMT+03:00 2023","Mon Sep 25 19:32:14 GMT+03:00 2023","1096","","guru.qa.tests.parametrizedTest","","guru.qa.tests.parametrizedTest","localeTest","localeTest(Locale, List) [2] en, [Home Services Portfolio Contacts Career Testimonials]",""
"broken","Mon Sep 25 11:58:07 GMT+03:00 2023","Mon Sep 25 11:58:07 GMT+03:00 2023","5","","guru.qa.tests.parametrizedTest","","guru.qa.tests.parametrizedTest","localeTest","localeTest(Locale, List)",""
"passed","Mon Sep 25 10:59:08 GMT+03:00 2023","Mon Sep 25 10:59:32 GMT+03:00 2023","24320","","guru.qa.tests.NegativGetInTouchFormTest","","guru.qa.tests.NegativGetInTouchFormTest","successfulFillTheForm","Неверное заполнение формы Get in touch",""
"passed","Mon Sep 25 19:45:51 GMT+03:00 2023","Mon Sep 25 19:45:58 GMT+03:00 2023","6483","","guru.qa.tests.GetInTouchFormTests","","guru.qa.tests.GetInTouchFormTests","successfulFillTheForm","Успешное заполнение формы Get in touch",""
"passed","Mon Sep 25 19:49:22 GMT+03:00 2023","Mon Sep 25 19:49:28 GMT+03:00 2023","5699","","guru.qa.tests.LocaleTest","","guru.qa.tests.LocaleTest","localeTest","Проверка содержания главных кнопок при изменении языка При смене языка на pl отображается [Strona główna Usługi Portfolio Kontakt Kariera Referencje]",""
"passed","Thu Sep 21 12:33:13 GMT+03:00 2023","Thu Sep 21 12:33:31 GMT+03:00 2023","17725","","guru.qa.tests.PortfolioPageTest","","guru.qa.tests.PortfolioPageTest","serviceLocaleTest","serviceLocaleTest()",""
"failed","Mon Sep 25 19:49:28 GMT+03:00 2023","Mon Sep 25 19:49:34 GMT+03:00 2023","5483","","guru.qa.tests.LocaleTest","","guru.qa.tests.LocaleTest","localeTest","Проверка содержания главных кнопок при изменении языка При смене языка на en отображается [Home Services Portfolio Contacts Career Testimonials]",""
"passed","Fri Sep 22 18:43:24 GMT+03:00 2023","Fri Sep 22 18:43:30 GMT+03:00 2023","6773","","guru.qa.tests.CareerPageTest","","guru.qa.tests.CareerPageTest","checkCareerContent","checkCareerContent()",""
"passed","Fri Sep 22 18:43:41 GMT+03:00 2023","Fri Sep 22 18:43:47 GMT+03:00 2023","6035","","guru.qa.tests.ServicesPageTest","","guru.qa.tests.ServicesPageTest","checkServiceContent","Проверка работоспособности раздела Services",""
"passed","Fri Sep 22 18:20:22 GMT+03:00 2023","Fri Sep 22 18:20:27 GMT+03:00 2023","5580","","guru.qa.tests.ContactsPageTest","","guru.qa.tests.ContactsPageTest","checkContactsContent","checkContactsContent()",""
"passed","Fri Sep 22 18:18:09 GMT+03:00 2023","Fri Sep 22 18:18:15 GMT+03:00 2023","6295","","guru.qa.tests.PortfolioPageTest","","guru.qa.tests.PortfolioPageTest","checkServiceContent","Проверка работоспособности раздела Portfolio",""
"passed","Mon Sep 25 10:37:26 GMT+03:00 2023","Mon Sep 25 10:37:34 GMT+03:00 2023","7716","","guru.qa.tests.GetInTouchFormTest","","guru.qa.tests.GetInTouchFormTest","successfulFillTheForm","заполнение формы Get in touch",""
